Respondent_ID,Age,Gender,Education,Employment,Monthly_Income,Location,Beer_Consumption_per_week,Satisfaction,Favorite_Flavor,Feedback,Preferred_Drinking_Time,Preferred_Snack_with_Beer,Willing_to_Recommend,Age_group
1438,41,Prefer not to say,Secondary,Unemployed,,Quezon City,3,2,Stout,"Strong flavor, love it",Night,nan,2,25-45
2701,42,Non-binary,Master's,Student,15000,Davao,7,3,Ale,Could be creamier,Evening,Pizza,3,25-45
3648,35,Female,Vocational,Student,100000,Cebu,0,1,IPA,nan,Evening,nan,1,25-45
2513,40,Prefer not to say,No formal education,Self-employed,60000,Makati,3,4,Pilsner,Could be creamier,Afternoon,Chips,3,25-45
2903,53,Female,Vocational,Retired,60000,Baguio,5,3,Pilsner,nan,nan,Pizza,5,45-60
9,40,Female,Secondary,Retired,35000,Makati,7,4,Pilsner,"Strong flavor, love it",Morning,Pizza,2,25-45
158,46,Male,Bachelor's,Employed Full-time,20000,Manila,2,1,Pilsner,,Evening,Sausages,1,45-60
24,38,Non-binary,Secondary,Employed Part-time,45000,Baguio,3,2,nan,,Afternoon,Pizza,5,25-45
4930,37,Female,Vocational,Retired,45000,Baguio,7,4,Stout,,Night,Nuts,1,25-45
1892,48,Non-binary,No formal education,Unemployed,50000,Quezon City,5,1,Pilsner,nan,Afternoon,Chips,1,45-60
228,23,Female,Master's,Unemployed,25000,Manila,5,4,nan,Too bitter for my taste,nan,Nuts,,Less than 25
4542,44,Male,No formal education,Self-employed,100000,Makati,0,5,Ale,"Strong flavor, love it",Afternoon,Pizza,4,25-45
80,57,Female,No formal education,Employed Part-time,,Cebu,1,2,nan,Smooth and refreshing,nan,Pizza,1,45-60
2532,45,Non-binary,Secondary,Employed Full-time,50000,Baguio,3,2,Stout,Affordable,Morning,Nuts,2,25-45
2216,30,Male,Doctorate,Employed Full-time,50000,Manila,7,1,Stout,nan,Night,Sausages,5,25-45
3780,37,Non-binary,Doctorate,Self-employed,60000,Baguio,5,3,Pilsner,nan,Afternoon,nan,5,25-45
4902,49,Male,Primary,Self-employed,35000,Baguio,7,3,Pilsner,Smooth and refreshing,Evening,Nuts,5,45-60
1537,18,Prefer not to say,Master's,Employed Full-time,45000,Manila,6,4,Pilsner,Affordable,Evening,Pizza,2,Less than 25
4641,27,Non-binary,Doctorate,Retired,,Cebu,7,3,IPA,Could be creamier,nan,nan,5,25-45
2814,52,Female,No formal education,Employed Part-time,40000,Quezon City,1,2,Stout,Affordable,Night,Burger,5,45-60
2922,38,Non-binary,Secondary,Self-employed,20000,Makati,6,1,nan,Too bitter for my taste,Evening,Sausages,3,25-45
682,27,Female,No formal education,Retired,20000,Makati,4,1,nan,Could be creamier,nan,Nuts,2,25-45
3320,29,Non-binary,Secondary,Student,40000,Manila,3,4,Pilsner,Perfect for weekends,Evening,nan,4,25-45
486,22,Male,Bachelor's,Student,10000,Makati,5,1,Lager,Perfect for weekends,nan,Chips,1,Less than 25
3662,49,Female,Vocational,Employed Full-time,40000,Quezon City,5,5,Lager,Could be creamier,Night,nan,,45-60
4422,22,Non-binary,Doctorate,Unemployed,25000,Cebu,6,2,IPA,Could be creamier,Evening,Burger,2,Less than 25
1002,57,Male,No formal education,Student,50000,Davao,1,1,Ale,Smooth and refreshing,Morning,Nuts,4,45-60
3674,39,Male,Doctorate,Unemployed,25000,Baguio,2,1,Pilsner,Light but not distinctive,nan,nan,4,25-45
1698,23,Prefer not to say,Secondary,Employed Full-time,50000,Baguio,5,4,IPA,nan,Night,nan,1,Less than 25
2484,52,Prefer not to say,Bachelor's,Employed Full-time,45000,Davao,4,1,nan,Affordable,Night,Sausages,4,45-60
347,52,Female,Primary,Employed Part-time,,Manila,4,4,Ale,Perfect for weekends,Morning,Burger,4,45-60
3600,41,Female,Bachelor's,Employed Part-time,10000,Quezon City,0,1,Ale,Smooth and refreshing,Evening,Burger,2,25-45
81,38,Prefer not to say,Primary,Student,35000,Manila,7,1,Lager,Light but not distinctive,Afternoon,nan,1,25-45
297,33,Prefer not to say,Secondary,Unemployed,10000,Quezon City,0,1,IPA,Smooth and refreshing,nan,Sausages,3,25-45
4760,43,Non-binary,Bachelor's,Employed Full-time,40000,Makati,6,5,nan,Light but not distinctive,Night,Nuts,,25-45
2988,50,Prefer not to say,Master's,Employed Full-time,15000,Davao,2,2,IPA,Light but not distinctive,Afternoon,Burger,1,45-60
1075,32,Prefer not to say,No formal education,Retired,60000,Baguio,2,3,Lager,Could be creamier,Night,Nuts,4,25-45
3476,53,Non-binary,Bachelor's,Self-employed,10000,Cebu,4,3,Stout,Too bitter for my taste,Evening,Pizza,3,45-60
3286,26,Non-binary,Secondary,Employed Full-time,45000,Manila,7,3,Pilsner,Could be creamier,Morning,Sausages,3,25-45
2813,41,Female,Secondary,Retired,25000,Quezon City,7,5,Pilsner,Perfect for weekends,Morning,nan,5,25-45
1339,62,Prefer not to say,Primary,Self-employed,15000,Manila,5,5,Stout,,Morning,Pizza,2,Greater than 60
1243,49,Non-binary,Doctorate,Retired,45000,Manila,3,3,Stout,"Strong flavor, love it",Night,Nuts,5,45-60
4916,30,Female,Bachelor's,Employed Part-time,,Cebu,2,1,Stout,nan,Morning,Nuts,3,25-45
4129,56,Non-binary,Bachelor's,Self-employed,100000,Makati,7,4,nan,"Strong flavor, love it",nan,nan,4,45-60
3221,31,Male,Primary,Unemployed,15000,Manila,5,1,Ale,Light but not distinctive,Afternoon,Chips,1,25-45
4000,46,Non-binary,Vocational,Unemployed,100000,Davao,5,1,Stout,Too bitter for my taste,Afternoon,nan,5,45-60
469,43,Male,Bachelor's,Unemployed,35000,Baguio,1,4,nan,,Afternoon,Sausages,4,25-45
4039,45,Prefer not to say,Bachelor's,Employed Full-time,20000,Manila,7,2,Ale,Light but not distinctive,Evening,Nuts,2,25-45
241,43,Prefer not to say,Bachelor's,Retired,35000,Manila,7,2,Stout,nan,nan,Chips,2,25-45
801,32,Non-binary,Secondary,Self-employed,50000,Cebu,3,2,Stout,"Strong flavor, love it",Evening,Burger,4,25-45
655,23,Female,Doctorate,Employed Full-time,30000,Manila,6,5,Ale,Perfect for weekends,nan,nan,1,Less than 25
4968,49,Non-binary,Bachelor's,Self-employed,40000,Makati,2,2,nan,nan,nan,Sausages,,45-60
4447,27,Prefer not to say,Primary,Employed Full-time,100000,Quezon City,7,2,nan,Light but not distinctive,nan,Pizza,,25-45
4980,38,Non-binary,Master's,Unemployed,45000,Baguio,4,5,nan,Smooth and refreshing,nan,nan,2,25-45
2219,51,Non-binary,Bachelor's,Employed Full-time,30000,Quezon City,3,2,Lager,Affordable,Morning,Nuts,2,45-60
1993,64,Male,Secondary,Employed Full-time,30000,Davao,7,4,Lager,"Strong flavor, love it",Afternoon,nan,2,Greater than 60
4744,27,Female,Primary,Student,35000,Baguio,2,4,Stout,Smooth and refreshing,Evening,Chips,2,25-45
466,29,Prefer not to say,Vocational,Unemployed,30000,Manila,6,4,Pilsner,Could be creamier,Evening,Chips,5,25-45
427,47,Male,Secondary,Self-employed,25000,Davao,6,4,IPA,,Morning,Sausages,3,45-60
2183,19,Non-binary,Primary,Self-employed,40000,Davao,6,3,Lager,Too bitter for my taste,Afternoon,nan,1,Less than 25
4852,49,Prefer not to say,Secondary,Self-employed,30000,Quezon City,4,2,Ale,Too bitter for my taste,Afternoon,Pizza,1,45-60
4056,55,Female,Bachelor's,Employed Full-time,50000,Davao,3,4,Ale,nan,nan,Sausages,3,45-60
927,36,Male,Secondary,Student,35000,Davao,4,4,Stout,Light but not distinctive,Evening,Chips,3,25-45
4678,62,Female,Master's,Student,35000,Davao,5,2,Pilsner,Too bitter for my taste,Morning,Pizza,5,Greater than 60
4551,26,Non-binary,No formal education,Student,25000,Manila,3,5,Lager,Smooth and refreshing,Afternoon,Nuts,1,25-45
4267,57,Prefer not to say,Master's,Retired,40000,Makati,7,4,nan,,nan,nan,2,45-60
4553,43,Female,Doctorate,Self-employed,15000,Quezon City,4,4,nan,Perfect for weekends,Afternoon,Chips,,25-45
2516,22,Prefer not to say,Bachelor's,Student,25000,Cebu,5,2,Pilsner,Light but not distinctive,Afternoon,Pizza,5,Less than 25
3085,60,Prefer not to say,No formal education,Employed Full-time,30000,Cebu,6,5,Ale,Too bitter for my taste,Afternoon,Chips,,45-60
1919,42,Female,Vocational,Employed Part-time,40000,Quezon City,2,1,Ale,"Strong flavor, love it",nan,Burger,2,25-45
839,36,Male,Vocational,Unemployed,15000,Davao,0,3,Lager,Light but not distinctive,Evening,Nuts,5,25-45
4786,33,Female,Secondary,Retired,25000,Quezon City,1,4,Ale,Light but not distinctive,Afternoon,Nuts,3,25-45
554,40,Female,Vocational,Employed Part-time,25000,Quezon City,6,3,Ale,Perfect for weekends,Morning,nan,5,25-45
1104,46,Non-binary,Vocational,Employed Full-time,30000,Makati,0,1,Pilsner,"Strong flavor, love it",nan,Nuts,1,45-60
2288,27,Male,Vocational,Retired,50000,Quezon City,0,4,Lager,Could be creamier,Morning,Chips,3,25-45
3351,31,Male,Doctorate,Unemployed,50000,Baguio,7,5,Stout,"Strong flavor, love it",Evening,Sausages,,25-45
4539,55,Female,Bachelor's,Student,50000,Baguio,2,2,IPA,nan,Evening,Burger,3,45-60
4338,26,Female,Doctorate,Employed Full-time,10000,Quezon City,2,3,IPA,Light but not distinctive,Morning,Sausages,2,25-45
502,60,Non-binary,Primary,Employed Full-time,15000,Quezon City,5,5,IPA,Light but not distinctive,Evening,Pizza,,45-60
440,64,Male,Vocational,Employed Part-time,35000,Baguio,4,1,Pilsner,Perfect for weekends,Evening,Chips,4,Greater than 60
3572,40,Non-binary,Secondary,Employed Full-time,40000,Davao,3,3,IPA,nan,Evening,Sausages,1,25-45
1224,46,Non-binary,Bachelor's,Employed Full-time,30000,Makati,3,5,IPA,Affordable,nan,Nuts,3,45-60
4632,20,Prefer not to say,No formal education,Employed Part-time,35000,Manila,3,2,IPA,Could be creamier,Evening,Chips,2,Less than 25
587,62,Prefer not to say,Secondary,Student,20000,Baguio,7,4,IPA,nan,Night,Sausages,5,Greater than 60
4836,44,Male,Vocational,Self-employed,,Manila,1,3,Pilsner,Perfect for weekends,nan,nan,4,25-45
2276,44,Male,Master's,Retired,,Baguio,0,3,Lager,,Morning,Sausages,4,25-45
4419,58,Prefer not to say,Bachelor's,Self-employed,50000,Makati,4,5,Ale,Affordable,Afternoon,Burger,3,45-60
4088,48,Female,Doctorate,Unemployed,20000,Makati,7,5,Stout,nan,Night,Nuts,1,45-60
2349,61,Male,Bachelor's,Student,10000,Manila,2,1,Pilsner,,nan,Chips,5,Greater than 60
4294,33,Prefer not to say,Vocational,Employed Full-time,15000,Manila,0,4,IPA,Perfect for weekends,Afternoon,nan,,25-45
4514,38,Prefer not to say,Doctorate,Employed Part-time,45000,Baguio,2,5,Stout,Affordable,Evening,Burger,1,25-45
4041,60,Non-binary,Master's,Employed Full-time,40000,Quezon City,0,5,Stout,,Morning,Chips,5,45-60
30,44,Female,Secondary,Student,35000,Davao,6,2,Ale,Light but not distinctive,Night,nan,4,25-45
3211,44,Female,Bachelor's,Employed Part-time,,Cebu,7,3,Ale,"Strong flavor, love it",Afternoon,nan,4,25-45
678,33,Prefer not to say,No formal education,Retired,,Quezon City,4,2,nan,,nan,Nuts,3,25-45
3887,30,Non-binary,Primary,Employed Full-time,,Manila,7,1,IPA,Light but not distinctive,Afternoon,Nuts,3,25-45
1481,35,Non-binary,Doctorate,Employed Full-time,10000,Makati,1,5,IPA,Perfect for weekends,nan,Sausages,5,25-45
473,50,Female,Primary,Retired,35000,Manila,2,5,Ale,,Afternoon,Burger,1,45-60
4239,21,Female,Secondary,Unemployed,45000,Baguio,0,1,Lager,Light but not distinctive,Night,Chips,5,Less than 25
933,51,Male,Doctorate,Employed Full-time,20000,Manila,6,3,Pilsner,Perfect for weekends,Morning,Sausages,5,45-60
4032,28,Male,Doctorate,Unemployed,40000,Makati,2,5,Lager,Smooth and refreshing,Evening,Chips,1,25-45
1818,37,Female,Primary,Employed Full-time,50000,Manila,1,3,Ale,"Strong flavor, love it",Morning,Chips,4,25-45
